                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1963,                 3.9259,                 6.4718,                 1.4279,                0.00248,                  0.125,                0.00505,                0.00253,                0.00248,                  0.125,                0.00751,                0.00479,                  3.037,                 2.8929,                 5.9343,                 1.9532,                 0.0937,                 0.0007,                 0.0007
                      1,                 2.0065,                 3.2126,                 6.0005,                  1.408,                0.00133,                0.15833,                0.00357,                 0.0021,                0.00126,                0.14167,                0.00352,                0.00313,                 2.5157,                  2.478,                 5.5158,                 1.7966,               0.086463,              0.0014629,              0.0014629
                      2,                 1.4911,                 2.0946,                 4.2874,                 1.1987,                0.25226,                0.03333,                0.00848,                0.00504,                0.25226,                0.03333,                0.00848,                0.00702,                  2.245,                 1.9033,                 5.7156,                 1.7241,               0.079186,              0.0021861,              0.0021861
                      3,                 1.0923,                 1.4711,                 3.3204,                 1.0337,                0.06208,                0.15833,                0.03413,                0.02301,                0.06208,                0.15833,                0.03468,                0.02342,                 2.1829,                 1.7166,                 4.7527,                 1.6992,                0.07187,              0.0028698,              0.0028698
                      4,                0.86363,                 1.0657,                 2.4958,                0.95494,                 0.7192,                  0.125,                0.15326,                0.10814,                 0.7192,                  0.125,                  0.146,                0.11934,                  2.245,                 1.6421,                 4.4407,                 1.7255,               0.064514,              0.0035139,              0.0035139
                      5,                0.80236,                 1.0144,                 2.2788,                0.91358,                0.97765,                  0.125,                0.17719,                0.10704,                0.97765,                  0.125,                0.17696,                0.07243,                 3.0516,                 2.8312,                 4.8036,                 2.1255,               0.057118,              0.0041184,              0.0041184
                      6,                0.75211,                0.97322,                 2.1704,                 0.9196,                0.99893,                   0.25,                 0.2776,                 0.1491,                0.99893,                   0.25,                 0.2776,                0.13585,                  2.039,                  1.703,                 4.1254,                 1.5604,               0.049683,              0.0046832,              0.0046832
                      7,                0.81657,                 1.0501,                 2.3381,                0.87327,                0.85982,                0.34375,                0.31166,                 0.1709,                0.85982,                0.34375,                0.31156,                0.14039,                 1.6285,                  1.366,                 4.0983,                 1.3493,               0.042209,              0.0052085,              0.0052085
                      8,                0.77284,                 1.0659,                  1.992,                0.89022,                0.99354,                   0.25,                0.30001,                0.20206,                0.99354,                   0.25,                 0.3023,                0.15356,                 1.4886,                 1.3176,                 3.6304,                 1.2318,               0.034694,              0.0056942,              0.0056942
                      9,                0.74221,                0.78492,                 1.7419,                0.86416,                0.99241,                   0.25,                0.31715,                0.20256,                0.99241,                   0.25,                0.31328,                0.16626,                 1.5366,                 1.3762,                 3.5174,                 1.2321,                0.02714,              0.0061403,              0.0061403
                     10,                0.84614,                0.89303,                 1.7689,                0.88427,                 0.4867,                 0.3474,                0.33313,                0.26166,                 0.4867,                 0.3474,                0.33281,                0.23641,                 1.4596,                 1.4611,                 3.6621,                 1.2913,               0.019547,              0.0065467,              0.0065467
                     11,                0.96066,                0.92529,                 2.1488,                0.90663,                0.84063,                0.28125,                0.28393,                0.15636,                0.84063,                0.28125,                0.28315,                0.14435,                 1.6278,                 1.6857,                 4.3438,                 1.2998,               0.011914,              0.0069136,              0.0069136
                     12,                0.81668,                0.92511,                 2.0746,                0.89697,                0.96735,                   0.25,                0.29934,                0.16795,                0.96735,                   0.25,                0.29933,                0.16214,                 1.6193,                 1.5613,                 4.4167,                 1.2892,                0.00703,                0.00703,                0.00703
                     13,                0.78562,                0.71936,                 1.6458,                0.88851,                0.70274,                0.35649,                0.35222,                0.20035,                0.70274,                0.35649,                0.35222,                0.23232,                 1.9247,                 1.8288,                 3.6212,                 1.4788,                0.00703,                0.00703,                0.00703
                     14,                0.84155,                0.89797,                 1.5532,                0.90281,                0.58525,                0.36042,                0.38905,                0.24139,                0.58525,                0.36042,                0.38905,                 0.2738,                 1.6741,                 1.5185,                 2.9362,                 1.3806,              0.0067825,              0.0067825,              0.0067825
                     15,                0.86808,                0.92225,                 1.2409,                0.91557,                0.87821,                0.33872,                0.34293,                0.24316,                0.87821,                0.33872,                0.34293,                 0.2202,                 1.7588,                 1.6867,                 3.5745,                 1.3815,               0.006535,               0.006535,               0.006535
                     16,                0.92678,                0.97685,                 1.1321,                0.89581,                0.36615,                0.25364,                0.29653,                0.19961,                0.36615,                0.25364,                0.29653,                 0.1804,                 1.6381,                 1.5203,                 3.4904,                 1.3166,              0.0062875,              0.0062875,              0.0062875
                     17,                0.79528,                0.93256,                 1.1109,                0.87622,                0.89981,                 0.3125,                0.38082,                0.23578,                0.89981,                 0.3125,                0.38053,                0.23467,                 1.5187,                 1.5055,                 3.4824,                 1.2537,                0.00604,                0.00604,                0.00604
                     18,                0.82203,                0.90405,                 1.0436,                0.90026,                0.48719,                0.41729,                 0.4011,                0.23546,                0.48719,                0.41729,                0.40156,                0.23424,                 1.7614,                 1.8231,                 11.662,                 1.3318,              0.0057925,              0.0057925,              0.0057925
                     19,                0.80265,                0.90894,                0.98018,                0.90374,                0.82427,                0.37708,                 0.4586,                 0.2524,                0.82427,                0.37708,                 0.4586,                  0.228,                  1.552,                 1.7289,                 3.1949,                 1.2572,               0.005545,               0.005545,               0.005545
                     20,                0.83148,                0.80798,                 1.0004,                0.88198,                0.75703,                0.42997,                0.42927,                 0.2639,                0.75703,                0.42997,                 0.4292,                0.21532,                  1.405,                 1.6521,                 3.0574,                 1.2122,              0.0052975,              0.0052975,              0.0052975
                     21,                0.69086,                0.70881,                0.89503,                0.85177,                0.85682,                0.35321,                0.42181,                0.25919,                0.85682,                0.35321,                0.43331,                 0.2303,                 1.4633,                 1.5889,                 3.0845,                 1.2444,                0.00505,                0.00505,                0.00505
                     22,                0.76435,                0.72976,                0.83794,                0.88664,                0.73684,                0.39375,                0.42841,                0.27569,                0.73684,                0.39375,                0.43618,                0.26394,                 1.4056,                 1.5127,                 2.7719,                  1.214,              0.0048025,              0.0048025,              0.0048025
                     23,                 0.6768,                0.86348,                0.79363,                0.86459,                0.92009,                0.38892,                0.46816,                0.31205,                0.92009,                0.38892,                0.46816,                0.36282,                 1.4078,                 1.4716,                 2.9603,                 1.1852,               0.004555,               0.004555,               0.004555
                     24,                0.74394,                0.79436,                 0.7909,                0.88521,                0.72607,                0.45104,                0.41271,                0.26977,                0.72607,                0.45104,                0.41271,                0.27057,                 1.5101,                 1.7634,                 3.1189,                 1.2132,              0.0043075,              0.0043075,              0.0043075
                     25,                0.73413,                0.72248,                 0.6981,                 0.8435,                0.67659,                0.47095,                0.44139,                0.27833,                0.67659,                0.47095,                0.44139,                0.29281,                 1.4779,                 1.6083,                 3.2131,                 1.2072,                0.00406,                0.00406,                0.00406
                     26,                0.73312,                0.74427,                0.73467,                0.86046,                0.70842,                  0.475,                0.50119,                0.32119,                0.70842,                  0.475,                0.50119,                0.31506,                  1.492,                 1.5352,                 2.9145,                  1.217,              0.0038125,              0.0038125,              0.0038125
                     27,                0.64223,                0.69308,                 0.6713,                0.86788,                0.91949,                0.39167,                0.45943,                0.33821,                0.91949,                0.39167,                0.45943,                0.30879,                 1.3246,                 1.4388,                 2.9681,                 1.1679,               0.003565,               0.003565,               0.003565
                     28,                0.61704,                 0.6198,                0.66166,                0.84506,                0.78606,                0.38428,                0.43001,                0.27959,                0.78606,                0.38428,                0.42879,                 0.2315,                 1.4501,                 1.5011,                 3.0016,                 1.2021,              0.0033175,              0.0033175,              0.0033175
                     29,                0.72506,                0.77873,                0.71405,                0.87199,                0.46654,                0.44167,                0.47473,                0.32844,                0.46654,                0.44167,                0.47473,                0.29393,                 1.5114,                 1.5504,                 3.0991,                 1.2083,                0.00307,                0.00307,                0.00307
                     30,                0.61213,                0.71105,                0.60078,                0.85461,                0.78215,                0.44167,                0.46666,                0.31876,                0.78215,                0.44167,                0.46666,                0.31085,                 1.4557,                 1.5322,                 3.0567,                  1.198,              0.0028225,              0.0028225,              0.0028225
                     31,                 0.5929,                0.82365,                0.55032,                0.86798,                0.80918,                0.43114,                0.47324,                0.31305,                0.80918,                0.43114,                 0.4729,                0.33563,                  1.484,                 1.5887,                 3.1686,                 1.2015,               0.002575,               0.002575,               0.002575
                     32,                0.58933,                0.77314,                0.58246,                0.85158,                0.82432,                  0.425,                0.47789,                0.32116,                0.82432,                  0.425,                0.47789,                0.31553,                 1.3281,                 1.5631,                 2.9527,                 1.1728,              0.0023275,              0.0023275,              0.0023275
                     33,                0.56029,                0.70575,                0.55833,                0.83916,                0.85123,                0.42059,                0.45325,                0.30837,                0.85123,                0.42059,                0.45325,                0.31614,                 1.3161,                  1.632,                 3.1162,                 1.1362,                0.00208,                0.00208,                0.00208
                     34,                0.56433,                0.73934,                0.58456,                0.84663,                0.82765,                  0.425,                0.43211,                0.29721,                0.82765,                  0.425,                0.43211,                0.28168,                 1.3738,                 1.6717,                 3.2437,                 1.1721,              0.0018325,              0.0018325,              0.0018325
                     35,                0.52089,                0.66462,                0.47188,                0.84276,                0.79971,                0.41751,                0.43398,                0.30461,                0.79971,                0.41751,                0.43398,                0.27564,                 1.4344,                 1.6046,                 3.2983,                 1.2289,               0.001585,               0.001585,               0.001585
                     36,                0.57908,                 0.7243,                0.48755,                0.84488,                0.88055,                0.36646,                0.41352,                0.27848,                0.88055,                0.36646,                0.41352,                0.26723,                 1.4227,                 1.5626,                 3.3622,                 1.2234,              0.0013375,              0.0013375,              0.0013375
                     37,                0.56228,                0.78363,                0.50582,                0.84512,                0.69558,                0.39375,                0.42022,                0.27763,                0.69558,                0.39375,                0.42022,                0.26797,                 1.4295,                 1.5745,                 3.3118,                 1.2229,                0.00109,                0.00109,                0.00109
                     38,                0.53318,                0.69806,                0.49081,                 0.8519,                0.35613,                  0.425,                0.41304,                0.29423,                0.35613,                  0.425,                0.41304,                0.26147,                 1.5254,                  1.586,                 3.2305,                 1.2611,              0.0008425,              0.0008425,              0.0008425
                     39,                0.55379,                0.72558,                 0.4629,                0.84415,                  0.344,                0.44167,                0.41236,                0.27945,                0.63339,                0.37708,                0.40202,                0.25523,                 1.5342,                 1.4824,                 3.3245,                 1.2704,               0.000595,               0.000595,               0.000595
